vagrant@vagrant-ubuntu-trusty-64:/opt/stack/opendaylight$ sudo tail -f /var/log/ apache2/keystone.log & echo $! >/opt/stack/status/stack/key.pid; fg || echo "key  failed to start" | tee "/opt/stack/status/stack/key.failure"
[1] 17700
sudo tail -f /var/log/apache2/keystone.log
2015-11-11 22:30:51.997917 17558 WARNING keystone.server.common [-] debug is enabled so responses may include sensitive information.
2015-11-11 22:30:51.998319 17558 DEBUG mod_wsgi [-] ******************************************************************************** log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2247
2015-11-11 22:30:51.998538 17558 DEBUG mod_wsgi [-] Configuration options gathered from: log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2248
2015-11-11 22:30:51.998769 17558 DEBUG mod_wsgi [-] command line args: [] log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2249
2015-11-11 22:30:51.999046 17558 DEBUG mod_wsgi [-] config files: ['/etc/keystone/keystone.conf'] log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2250
2015-11-11 22:30:51.999276 17558 DEBUG mod_wsgi [-] ================================================================================ log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2251
2015-11-11 22:30:51.999537 17558 DEBUG mod_wsgi [-] admin_endpoint                 = None log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2260
2015-11-11 22:30:51.999741 17558 DEBUG mod_wsgi [-] admin_token                    = **** log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2260
2015-11-11 22:30:51.999989 17558 DEBUG mod_wsgi [-] config_dir                     = None log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2260
2015-11-11 22:30:52.000208 17558 DEBUG mod_wsgi [-] config_file                    = ['/etc/keystone/keystone.conf'] log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2260
2015-11-11 22:30:52.000554 17558 DEBUG mod_wsgi [-] crypt_strength                 = 10000 log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2260
2015-11-11 22:30:52.000763 17558 DEBUG mod_wsgi [-] debug                          = True log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2260
2015-11-11 22:30:52.000952 17558 DEBUG mod_wsgi [-] default_log_levels             = ['amqp=WARN', 'amqplib=WARN', 'boto=WARN', 'qpid=WARN', 'sqlalchemy=WARN', 'suds=INFO', 'oslo.messaging=INFO', 'iso8601=WARN', 'requests.packages.urllib3.connectionpool=WARN', 'urllib3.connectionpool=WARN', 'websocket=WARN', 'requests.packages.urllib3.util.retry=WARN', 'urllib3.util.retry=WARN', 'keystonemiddleware=WARN', 'routes.middleware=WARN', 'stevedore=WARN', 'taskflow=WARN', 'dogpile=INFO', 'routes=INFO', 'keystone.common._memcache_pool=INFO'] log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2260
2015-11-11 22:30:52.001185 17558 DEBUG mod_wsgi [-] default_publisher_id           = None log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2260
2015-11-11 22:30:52.001367 17558 DEBUG mod_wsgi [-] domain_id_immutable            = True log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2260
2015-11-11 22:30:52.001617 17558 DEBUG mod_wsgi [-] instance_format                = [instance: %(uuid)s]  log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2260
2015-11-11 22:30:52.001870 17558 DEBUG mod_wsgi [-] instance_uuid_format           = [instance: %(uuid)s]  log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2260
2015-11-11 22:30:52.002249 17558 DEBUG mod_wsgi [-] list_limit                     = None log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2260
2015-11-11 22:30:52.002468 17558 DEBUG mod_wsgi [-] log_config_append              = None log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2260
2015-11-11 22:30:52.002771 17558 DEBUG mod_wsgi [-] log_date_format                = %Y-%m-%d %H:%M:%S log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2260
2015-11-11 22:30:52.002909 17558 DEBUG mod_wsgi [-] log_dir                        = None log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2260
2015-11-11 22:30:52.003112 17558 DEBUG mod_wsgi [-] log_file                       = None log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2260
2015-11-11 22:30:52.003338 17558 DEBUG mod_wsgi [-] log_format                     = None log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2260
2015-11-11 22:30:52.003597 17558 DEBUG mod_wsgi [-] logging_context_format_string  = %(process)d %(levelname)s %(name)s [%(request_id)s %(user_identity)s] %(instance)s%(message)s log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2260
2015-11-11 22:30:52.003839 17558 DEBUG mod_wsgi [-] logging_debug_format_suffix    = %(funcName)s %(pathname)s:%(lineno)d log_opt_values /usr/local/lib/python2.7/dist-packages/oslo_config/cfg.py:2260
